cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2430;PE0C0GFG;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2431;PE0C0GG8;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2434;PE0C0GS7;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2435;PE0C0GRS;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2439;PE0C0GRN;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2441;PE0C0GRW;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2447;PE0C0GS9;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1437;PE08ACJ8;10233;NOTEBOOK LENOVO THINKPAD T14 G1 RYZEN 5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;27/03/2024;1339;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1042;SPE061RFA;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/03/2024;1384;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1125;PE06Z2TM;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/03/2024;1383;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1303;PE07D1JE;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/03/2024;1385;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1712;PE061RV6;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;28/03/2024;1380;;Envio;219,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2500;PE0C394K;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;28/03/2024;1386;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2501;PE0C3A8W;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;28/03/2024;1387;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2504;PE0C39TJ;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;28/03/2024;1388;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1166;PE06EA36;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;01/04/2024;1391;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1315;PE07D1F3;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;01/04/2024;1381;;Envio;219,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1741;PE09QR1P;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;01/04/2024;1396;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1293;SPE061RP3;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;02/04/2024;1406;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1042;SPE061RFA;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;03/04/2024;1411;;Retorno;260,00
